Timestamp,CPU_Usage(%),Memory_Usage(%),Memory_Used(GB),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Temp(C),CPU_Temp(C),FPS,Frame_Count,Latency(ms)
2025-11-12 18:48:39,20.5,20.2,5.49,0.0,0.0,43.5,0.0,0.0,0,0.0
2025-11-12 18:48:44,15.0,20.2,5.5,0.0,0.0,43.22,0.0,0.0,0,0.0
2025-11-12 19:08:11,35.4,21.7,5.93,19.9,0.0,43.91,0.0,0.0,0,0.0
2025-11-12 19:08:17,46.8,21.7,5.93,4.9,0.0,44.09,0.0,0.0,0,0.0
2025-11-12 19:08:22,32.5,21.8,5.92,54.9,0.0,43.81,0.0,0.0,0,0.0
2025-11-12 19:08:27,30.6,22.0,5.93,8.0,0.0,44.03,0.0,0.0,0,0.0
2025-11-12 19:08:32,43.6,22.3,5.94,53.5,0.0,43.72,0.0,0.0,0,0.0
2025-11-12 19:08:38,63.2,24.2,6.42,74.0,0.0,44.16,0.0,0.0,0,0.0
2025-11-12 19:08:44,63.7,24.5,6.44,57.9,0.0,44.25,0.0,0.0,0,0.0
2025-11-12 19:08:49,63.8,24.6,6.43,40.1,0.0,44.28,0.0,0.0,0,0.0
2025-11-12 19:08:54,61.4,24.9,6.45,11.6,0.0,44.59,0.0,0.0,0,0.0
2025-11-12 19:08:59,60.3,25.0,6.44,50.1,0.0,44.44,0.0,0.0,0,0.0
2025-11-12 19:09:04,59.3,25.1,6.46,58.9,0.0,44.41,0.0,0.0,0,0.0
2025-11-12 19:09:09,63.8,25.1,6.45,31.3,0.0,44.53,0.0,0.0,0,0.0
2025-11-12 19:09:14,58.7,25.1,6.44,33.8,0.0,44.97,0.0,0.0,0,0.0
2025-11-12 19:09:19,62.8,25.0,6.44,68.7,0.0,44.78,0.0,0.0,0,0.0
2025-11-12 19:09:24,61.7,25.1,6.45,41.1,0.0,44.88,0.0,0.0,0,0.0
2025-11-12 19:09:29,61.3,25.1,6.46,1.9,0.0,44.81,0.0,0.0,0,0.0
2025-11-12 19:09:35,60.5,25.1,6.46,64.2,0.0,44.62,0.0,0.0,0,0.0
2025-11-12 19:09:41,63.9,25.2,6.48,45.8,0.0,45.0,0.0,0.0,0,0.0
